x,y,z
-1.3121,-0.1102,1.1586
-1.4653,-0.7996,1.2756
-1.3377,0.5841,0.4281
-1.9592,-0.2464,1.2268
-1.5723,0.6575,0.7434
-1.2047,0.2753,1.0581
-2.1509,0.9534,1.1931
-2.7724,-0.6794,0.9830
-1.3705,0.9470,0.6258
-1.5204,-0.1137,1.1327
-1.4595,-0.3633,1.1323
-2.8453,0.5858,0.9649
-1.4497,0.5735,0.7589
-1.5232,-0.0458,0.8652
-1.3300,0.2814,0.8536
-2.2972,-0.4008,0.9619
-1.7459,0.5798,0.9643
-2.0472,0.6400,0.4670
-2.8146,-0.8079,1.0224
-2.5554,0.4046,0.7462
-2.0980,-0.3850,0.9303
-0.9362,0.8292,0.9997
-2.3283,0.9504,1.0788
-1.4262,-0.0893,0.5722
-2.6672,0.8172,0.7558
-2.5065,0.7252,1.0585
-1.4211,-0.1238,0.9273
-2.0284,-0.9048,0.7940
-1.6847,-0.6468,1.2251
-1.6979,-0.2943,0.8909
-2.8144,0.9291,0.7823
-1.2945,-0.8225,0.7867
-1.8786,0.8877,0.8717
-1.2074,0.8043,0.4402
-1.7519,-0.7708,0.9722
-2.2975,0.3308,1.0270
-1.3227,-0.7725,1.2160
-2.3996,-0.9132,0.8549
-2.1182,0.6716,1.1083
-2.2257,0.9178,0.5909
-1.8299,-0.4761,1.2360
-2.5308,-0.8982,0.7351
-1.0784,0.7989,0.8189
-2.2281,0.5560,0.9617
-2.1127,-0.7991,1.0468
-2.3351,0.8856,0.5410
-2.6145,0.6742,0.4533
-2.5015,0.2108,1.1746
-2.4671,-0.3674,1.0774
-1.2518,0.4428,1.0390
-2.5979,-0.7405,1.2276
-1.5343,0.9232,0.5864
-1.0104,-0.9383,0.8552
-2.0218,0.9445,0.8960
-0.9940,0.6207,0.7674
-1.2905,-0.9523,0.4091
-1.2011,0.6056,0.5326
-1.7985,0.2240,1.1677
-1.6538,-0.1629,0.6742
-2.0082,0.3159,1.1675
-1.6777,0.3734,0.6936
-2.2240,0.0211,1.1750
-1.1577,-0.9010,0.4815
-2.0275,-0.8895,0.6736
-1.8125,-0.7847,1.1335
-2.7561,0.8617,0.3991
-1.1729,0.8173,1.2796
-1.2559,0.5710,0.9425
-1.8316,0.7271,0.7628
-2.0898,0.2911,0.5665
-2.5805,-0.0322,0.7169
-2.3949,-0.2530,0.6664
-2.2050,-0.2291,0.9857
-2.2662,0.9097,1.2163
-1.7946,0.2778,0.5882
-1.3902,-0.5832,0.9948
-1.1386,-0.7238,0.9144
-2.6698,0.4634,0.3845
-0.9881,-0.7132,1.2589
-1.2698,0.9041,0.5534
-2.5174,0.1419,0.8724
-1.9280,0.0573,1.0639
-1.2615,-0.0037,0.8996
-2.6846,0.3277,0.7186
-1.3114,0.3545,0.6336
-1.0633,0.5371,0.5705
-2.5644,0.8843,0.7379
-2.0934,0.4714,0.8530
-2.1073,0.9853,1.0178
-1.5859,-0.7442,0.8883
-1.4878,-0.9634,0.7543
-1.9754,-0.3841,1.2184
-1.1016,-0.4202,1.1369
-2.6472,1.0102,0.9657
-1.5597,-0.8071,1.1970
-1.3065,-0.5916,1.2106
-1.5475,-0.9157,0.3054
-2.7567,0.2239,1.1015
-2.3829,0.7108,0.3572
-1.2581,0.8676,1.0721
-1.4638,0.6880,0.3402
-1.3696,0.2720,1.1511
-2.5496,0.4812,0.4930
-2.3185,0.4318,1.2802
-1.6369,-0.8790,0.9163
-2.7753,0.7803,1.0096
-0.8999,-0.0709,1.0841
-1.4604,0.3105,1.2406
-2.0424,-0.5527,0.8883
-2.2259,-0.9159,0.7184
-1.7285,0.4160,0.9479
-1.7617,-0.1252,0.9260
-2.1387,0.0375,1.0367
-1.8194,0.6117,0.6145
-2.7159,0.6960,0.3556
-2.2322,0.4974,0.3147
-1.2057,0.7251,0.6723
-1.3158,-0.3661,0.9877
-2.5325,-0.6562,1.1363
-0.8817,0.1239,1.1391
-2.4981,0.8262,0.3446
-2.3727,0.6992,0.9376
-1.5617,0.3524,1.0629
-2.7438,-0.2548,0.8395
-2.1831,0.7010,0.7826
-1.3227,0.7160,0.8048
-1.0409,0.1862,1.1503
-2.1788,0.0096,0.8314
-2.6500,-0.1909,1.2173
-2.4768,-0.9384,1.2275
-2.8454,-0.4320,1.0030
-1.5925,0.9756,0.9204
-1.9050,0.5349,1.2033
-1.4186,0.9384,1.0820
-1.1264,-0.7598,1.0324
-1.9798,0.1182,0.9541
-0.9204,0.9812,0.5882
-1.3925,0.5120,0.6465
-2.6123,-0.9061,1.0773
-1.8806,0.9831,0.7650
-2.6904,0.1229,1.1021
-1.0106,0.6572,0.3370
-2.1146,-0.8906,0.4093
-1.1291,0.4909,1.1009
-2.7621,-0.5189,0.9219
-1.1437,-0.9790,0.8146
-1.0687,0.3552,0.5377
-1.1544,-0.2919,1.1533
-2.2621,0.1926,0.6969
-2.6904,-0.3041,1.0176
-2.0441,-0.7144,0.8749
-0.8648,0.4138,0.8952
-2.0753,0.8426,0.7969
-0.9416,0.5159,0.8409
-2.2093,0.8301,0.8295
-1.3754,0.1935,0.9534
-2.5491,0.7606,0.5832
-1.7370,0.5959,1.0838
-1.9832,-0.0355,1.2947
-1.5108,0.6413,1.2026
-1.2848,-0.6176,0.8622
-2.6562,0.3178,1.2553
-1.8437,-0.0090,0.6331
-1.9003,0.3785,0.5283
-2.7653,-0.7116,1.2188
-2.6387,0.2523,0.5416
-2.8505,0.7187,0.9191
-2.5345,0.5579,1.1555
-2.3515,0.8496,0.7545
-1.6532,0.9813,0.6615
-1.4096,0.4282,1.0386
-2.6079,-0.7006,0.9931
-2.5141,0.0266,1.2918
-2.8520,-0.9548,1.2931
-1.0992,0.0844,0.9218
-2.8237,0.2034,0.5313
-1.1122,-0.4807,0.9108
-0.8932,-0.1495,0.8146
-2.8351,0.6041,0.8202
-2.0441,-0.7999,1.1897
-2.0700,0.3772,0.4494
-1.3977,0.5779,0.8699
-2.6508,0.8199,1.1656
-1.3728,-0.9417,1.2792
-2.1057,0.4506,1.1876
-1.3530,0.7741,0.5781
-2.4558,-0.6165,0.8220
-2.2705,0.5416,1.1767
-1.0567,0.9811,1.2824
-0.9540,-0.8444,0.4378
-1.1684,0.2455,0.8424
-2.2679,-0.2455,0.7049
-2.6592,-0.4589,1.1465
-2.5010,-0.1609,0.7499
-2.3695,0.4325,1.1513
-1.8247,-0.0068,0.8297
-0.9536,-0.6608,0.8544
-1.7962,-0.6135,1.2886
-1.2234,0.4952,0.7688
-1.6146,0.5137,1.0936
